0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 200 25925
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:31:37 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:32:18 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:32:18 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
